timestamp,can_id,data
"2025-08-27T13-59-15.925+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-16.609+05:30","0x23","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-16.627+05:30","0x49","0x00 0x00 0x00 0x01 0xFF 0x03 0xFF 0x7F"
"2025-08-27T13-59-16.636+05:30","0x111","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-16.649+05:30","0x131","0x00 0x00 0x00 0x00 0x27 0x10 0x00 0x00"
"2025-08-27T13-59-16.664+05:30","0x314","0x00 0x01 0x68 0x01 0xC2 0x00 0x00 0x00"
"2025-08-27T13-59-16.673+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x00"
"2025-08-27T13-59-16.688+05:30","0x63B","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-16.701+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-16.720+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-16.733+05:30","0x23","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-16.747+05:30","0x49","0x06 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-16.756+05:30","0x26","0x4E 0x20 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-16.765+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-16.777+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-16.786+05:30","0x22F","0x00 0x00 0x00"
"2025-08-27T13-59-16.797+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-16.809+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-16.817+05:30","0x23","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-16.825+05:30","0x111","0x00 0x00 0x00 0x00 0x02 0x00 0x00 0x00"
"2025-08-27T13-59-16.832+05:30","0x49","0x07 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-16.840+05:30","0x131","0x00 0x00 0x00 0x00 0x27 0x10 0x00 0x00"
"2025-08-27T13-59-16.848+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-16.856+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-16.864+05:30","0x26","0x4E 0x20 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-16.871+05:30","0x22F","0x00 0x00 0x00"
"2025-08-27T13-59-16.881+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-16.889+05:30","0x2096","0x02 0x00 0x09 0x06 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-16.896+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-16.904+05:30","0x23","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-16.911+05:30","0x42","0x00 0x10 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-16.922+05:30","0x49","0x08 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
